1	0 195
5	196 602
6	799 636
7	1436 609
8	2046 654
9	2701 636
10	3338 613
12	3952 583
13	4536 606
14	5143 669
17	5813 640
19	6454 650
20	7105 620
21	7726 615
22	8342 618
23	8961 618
24	9580 618
25	10199 615
26	10815 609
27	11425 620
28	12046 624
30	12671 636
31	13308 619
32	13928 606
34	14535 612
36	15148 665
38	15814 608
39	16423 351
41	16775 653
42	17429 638
43	18068 554
44	18623 621
45	19245 664
46	19910 617
47	20528 649
48	21178 634
49	21813 622
50	22436 642
51	23079 635
52	23715 645
53	24361 639
55	25001 618
56	25620 616
57	26237 603
58	26841 637
59	27479 610
60	28090 658
61	28749 615
62	29365 611
64	29977 536
65	30514 606
67	31121 636
68	31758 621
69	32380 606
71	32987 607
73	33595 654
74	34250 606
79	34857 612
80	35470 640
81	36111 610
82	36722 653
83	37376 649
84	38026 616
87	38643 606
89	39250 275
90	39526 292
92	39819 636
93	40456 619
95	41076 269
96	41346 291
97	41638 647
100	42286 607
102	42894 615
104	43510 642
105	44153 664
106	44818 616
107	45435 622
108	46058 617
109	46676 621
112	47298 641
115	47940 640
116	48581 619
117	49201 641
119	49843 637
121	50481 615
123	51097 612
124	51710 641
125	52352 628
126	52981 661
127	53643 641
128	54285 651
129	54937 628
130	55566 655
131	56222 643
132	56866 641
133	57508 643
134	58152 637
135	58790 617
137	59408 614
138	60023 603
139	60627 607
140	61235 610
141	61846 618
142	62465 626
143	63092 618
144	63711 641
146	64353 583
147	64937 639
149	65577 624
150	66202 606
151	66809 620
152	67430 641
153	68072 618
154	68691 620
155	69312 617
157	69930 617
158	70548 648
160	71197 626
161	71824 641
162	72466 649
163	73116 649
165	73766 607
170	74374 600
171	74975 611
172	75587 618
173	76206 626
174	76833 619
175	77453 622
177	78076 583
178	78660 641
180	79302 610
182	79913 621
183	80535 607
184	81143 641
186	81785 614
188	82400 624
189	83025 641
194	83667 601
195	84269 611
196	84881 619
197	85501 628
198	86130 620
199	86751 617
201	87369 585
202	87955 639
204	88595 623
205	89219 605
206	89825 641
208	90467 615
210	91083 624
212	91708 689
214	92398 626
215	93025 640
226	93666 602
228	94269 582
230	94852 618
231	95471 618
232	96090 604
233	96695 612
234	97308 619
235	97928 626
236	98555 619
237	99175 615
239	99791 622
240	100414 607
241	101022 640
242	101663 640
244	102304 612
245	102917 612
249	103530 628
250	104159 640
255	104800 602
256	105403 615
257	106019 619
258	106639 628
259	107268 619
260	107888 616
262	108505 582
263	109088 640
265	109729 622
266	110352 603
267	110956 640
269	111597 611
271	112209 620
273	112830 628
274	113459 640
276	114100 610
281	114711 602
282	115314 613
283	115928 619
284	116548 630
285	117179 620
286	117800 617
287	118418 640
289	119059 582
290	119642 674
293	120317 621
294	120939 607
297	121547 640
299	122188 663
301	122852 655
303	123508 612
306	124121 628
307	124750 639
308	125390 656
309	126047 631
310	126679 648
311	127328 643
312	127972 647
313	128620 635
314	129256 650
315	129907 644
316	130552 648
317	131201 646
318	131848 622
320	132471 618
321	133090 615
322	133706 604
323	134311 613
324	134925 614
325	135540 629
326	136170 619
327	136790 648
329	137439 582
331	138022 608
332	138631 640
334	139272 629
336	139902 622
337	140525 606
338	141132 643
339	141776 640
341	142417 609
343	143027 628
344	143656 640
349	144297 600
350	144898 612
351	145511 619
352	146131 632
353	146764 621
354	147386 623
356	148010 584
357	148595 640
360	149236 621
361	149858 605
362	150464 640
367	151105 608
369	151714 627
370	152342 640
373	152983 598
375	153582 583
380	154166 622
381	154789 621
382	155411 620
384	156032 602
385	156635 614
386	157250 619
387	157870 629
388	158500 619
389	159120 648
390	159769 641
392	160411 622
393	161034 605
394	161640 641
396	162282 671
397	162954 595
399	163550 620
401	164171 658
403	164830 614
405	165445 629
407	166075 641
409	166717 645
