1	0 6716
2	6716 8222
3	14938 3718
4	18656 5023
5	23679 3503
6	27182 1891
7	29073 994
8	30067 1413
9	31480 1172
10	32652 2102
11	34754 1302
12	36056 1741
13	37797 1811
14	39608 2185
15	41793 1807
16	43600 7670
17	51270 18358
18	69628 3882
19	73510 4414
20	77924 3349
21	81273 3552
22	84825 10516
23	95341 4068
24	99409 1222
25	100631 897
26	101528 1509
27	103037 970
28	104007 1978
29	105985 4467
30	110452 1635
31	112087 6247
32	118334 7703
33	126037 1998
34	128035 4008
35	132043 2678
36	134721 4776
37	139497 8853
38	148350 4982
39	153332 7980
40	161312 4790
41	166102 10044
42	176146 2217
43	178363 1622
44	179985 2106
45	182091 1881
46	183972 2442
47	186414 2900
48	189314 2588
49	191902 13307
50	205209 2495
51	207704 2266
52	209970 2520
53	212490 3092
54	215582 1593
55	217175 10166
56	227341 9658
57	236999 4726
58	241725 7006
59	248731 3666
60	252397 3433
61	255830 2853
62	258683 5884
63	264567 3090
64	267657 5865
65	273522 4779
66	278301 13741
67	292042 3837
68	295879 2976
69	298855 1630
70	300485 8115
71	308600 5698
72	314298 12509
73	326807 3822
74	330629 2211
75	332840 5474
76	338314 5856
77	344170 7934
78	352104 10149
79	362253 3609
80	365862 3395
81	369257 2191
82	371448 391
83	371839 3790
84	375629 2037
85	377666 1490
86	379156 7385
87	386541 1027
88	387568 951
89	388519 1684
90	390203 3285
91	393488 1832
92	395320 4068
93	399388 2177
94	401565 4034
95	405599 1404
96	407003 4927
97	411930 2609
98	414539 1760
99	416299 1983
100	418282 1493
101	419775 3765
102	423540 2433
103	425973 2058
104	428031 2528
105	430559 3454
106	434013 2480
107	436493 2535
108	439028 20284
109	459312 8415
110	467727 4388
111	472115 4492
112	476607 4161
113	480768 1551
114	482319 4503
115	486822 1381
116	488203 1199
117	489402 1497
118	490899 7445
119	498344 2197
120	500541 18044
121	518585 8897
122	527482 5694
123	533176 4042
124	537218 3579
125	540797 2071
126	542868 16391
127	559259 4478
128	563737 1171
129	564908 1945
130	566853 1371
131	568224 8194
132	576418 5190
133	581608 6862
134	588470 1947
135	590417 8223
136	598640 7580
137	606220 8524
138	614744 4996
139	619740 6763
140	626503 15110
141	641613 7560
142	649173 5100
143	654273 1388
144	655661 1589
145	657250 2171
146	659421 1365
147	660786 836
148	661622 6390
149	668012 2151
150	670163 8316
151	678479 4242
152	682721 1895
153	684616 5256
154	689872 5488
155	695360 9135
156	704495 4711
157	709206 9544
158	718750 3791
159	722541 1092
